Name,Address,Phone,URL,LinkedIn,Reviews,Emails
UnitedSol (Pvt) Ltd - Web Design & Development Company,"349 St 1, I-9/3 I 9/3 I-9, Islamabad, Islamabad Capital Territory 44000",(051) 8442246,unitedsol.net,,(67),"['John_Smith@unitedsol.net', 'info@unitedsol.net', 'Info@unitedsol.net', 'John@unitedsol.net', 'John.Smith@unitedsol.net', 'usman.ghani@unitedsol.net', 'zeeshan@unitedsol.net', 'JohnSmith@unitedsol.net', 'career@unitedsol.net', 'zia.qureshi@unitedsol.net', 'taimur.babar@unitedsol.net']"
SAR ZONE (Best Software House in Islamabad & Automation Center),"SAR ZONE, office number 31, executive business center، 2 Markaz, Islamabad, 48000",,sarzone.com,,(10),"['info@sarzone.com', 'razanaveed@sarzone.com', 'abdulmuqeet@sarzone.com']"
Emumba Private Limited,"Plot # 189-A, Korang Road, I-10/3 I 10/3 I-10, Islamabad, Islamabad Capital Territory",(051) 4444711,emumba.com,,(156),"['owais@emumba.com', 'aws@emumba.com', 'hello@emumba.com', 'jane.doe@emumba.com', '20200602073813.1484-1-sarosh.arif@emumba.com', 'admin@emumba.com', 'mehroz.naqvi@emumba.com', 'fahad.jan@emumba.com', 'aXeleratedSoftware@emumba.com', 'u003cm.bilal@emumba.com', 'm.bilal@emumba.com', 'u003c20200602073813.1484-1-sarosh.arif@emumba.com', 'designer@emumba.com', 'maham.nadeem@emumba.com', '20200407075613.29273-1-m.bilal@emumba.com', 'a@emumba.com', 'careers@emumba.com', 'umar.hayat@emumba.com']"
Redis Solution PVT LTD | Software House | Software House in Islamabad | software House in Rawalpindi |,"Office No 444 M, dubai tower, Khanna Pul, Khanna Islamabad, Rawalpindi, Islamabad Capital Territory 44000",0349 3614440,redissolution.com,,(27),"['Contact@redissolution.com', 'info@redissolution.com', 'Info@redissolution.com']"
Time Tech Software Private Limited,"3rd Floor, Plaza-30, Gate # 3, Westeria Rd, Commercial Sector A DHA Phase II, Islamabad, Islamabad Capital Territory 44000",0314 5444363,timetechsoftware.com,,(19),['info@timetechsoftware.com']
Best Software House in Islamabad - Women Technology House,"I-8 Markaz I 8 Markaz I-8, Islamabad, Islamabad Capital Territory",0331 7071092,womentechhouse.com,,(26),['sadafawan@womentechhouse.com']
Techuire,"Office # 501, plaza 153-O, 5th floor, Civic Center Bahria Town, Rawalpindi, Islamabad, Punjab 44000",0300 5034440,,,(25),[]
SignUp Solution - The Best Software Company in Rawalpindi/Islamabad,"Second Floor, Talha Heights, 21-D 6th Rd, Satellite Town, Rawalpindi, Punjab 46000",(051) 2716572,signupsolution.com,,(249),"['marketing@signupsolution.com', 'info@signupsolution.com', 'hr@signupsolution.com']"
Zeropoint.IT Pvt Ltd,"Plot No.32, Street No.36, I&T Centre, G 10/4 Islamabad",(051) 2356201,zeropoint.it,,(61),['hr@zeropoint.it']
Techostudios Pvt Ltd,"Office#03, Khawaja heights, 5 Japan Rd, Phase 7 Bahria Town, Islamabad, 46000",0333 9994744,techostudios.com,,(44),['contact@techostudios.com']
Solutions Player,"Office No. 201, 2nd Floor, Ghouri Mall, Phase 4A Ghauri Town, Islamabad, Islamabad Capital Territory 44000",0300 4235593,solutionsplayer.com,,(52),"['Business@solutionsplayer.com', 'info@solutionsplayer.com', 'business@solutionsplayer.com', 'doejohn@solutionsplayer.com', 'mbusiness@solutionsplayer.com']"
NOW Software (Pvt.) Limited,"14th Floor North, Islamabad Stock Exchange Tower, Block J F 7/1 Blue Area, Islamabad, Islamabad Capital Territory 44000",(051) 8742000,now.net.pk,,(16),"['marketing@now.net.pk', 'careers@now.net.pk', 'info@now.net.pk']"
CodeAge Pvt Ltd,"Office 1, Second Floor, Plaza 56, Spring North Commercial, Phase 7 Bahria Town, Islamabad, Rawalpindi, Islamabad Capital Territory",0302 5607719,codeagepk.com,,(15),"['info@codeagepk.com', 'junaid@codeagepk.com', 'payments@codeagepk.com', 'Info@codeagepk.com']"
Techozon Software House SMC PVT LTD,"Office 503, Gulberg empire, Civic Center, Executive Block Koral Town, Islamabad, Islamabad Capital Territory 44000",0335 6701234,techozon.com,,(14),"['d@techozon.com', 'info@techozon.com', 's@techozon.com']"
CDL | Software House in Islamabad/Pakistan | Best Digital Marketing Agency in Islamabad/Pakistan |,"Nilore, Islamabad, Islamabad Capital Territory 44000",0348 7458009,cdlcell.com,,(20),['contact@cdlcell.com']
JanBark Technologies,"3rd Floor Hall, Plaza B, 38 Street 27, Sector F DHA Phase 1, Islamabad, Islamabad Capital Territory 44000",(051) 8318629,janbark.com,,(40),"['info@janbark.com', 'ahmedkhan@janbark.com']"
"Software House In Islamabad, Techuire","Office 10 third floor lord trade center, F-11 Markaz F 11 Markaz F-11, Islamabad, Islamabad Capital Territory 44000",0333 8322151,,,(9),['.@']
CyberVision Tech,"Plot 18, 1st Floor, Paradise Plaza, SCHS, Sector:, SCHS E 11/2 E-11, Islamabad, Islamabad Capital Territory 44000",(051) 2304878,cybervision.com.pk,,(67),"['info@cybervision.com.pk', 'first@cybervision.com.pk', 'joe@cybervision.com.pk', 'hira.sabri@cybervision.com.pk', 'murtaza@cybervision.com.pk']"
Pixel Sama | Software House in Islamabad | Software Companies in Pakistan,"Office no 1, Umer Heights, street no 1 Khayam Town Rd, H-13, Islamabad, Islamabad Capital Territory 44000",0344 5786762,,,(12),[]
"Systems Limited, Islamaba","Plot No. 21, 1st Floor, Fazeelat Arcade, Markaz, G-11 Markaz G 11 Markaz G-11, Islamabad, Islamabad Capital Territory",,systemsltd.com,,(134),"['Investor_relations@systemsltd.com', 'simrah.taqi@systemsltd.com', 'jane.doe@systemsltd.com', 'Info@systemsltd.com', 'Aliahmed.iftikhar@systemsltd.com', 'roohi.khan@systemsltd.com', 'corporate@systemsltd.com']"
Cubix IT,,0334 8623273,cubixit.com,,(10),"['sales@cubixit.com', 'contact@cubixit.com', 'info@cubixit.com', 'jaco@cubixit.com', 'jarine@cubixit.com', 'hr@cubixit.com', 'jsmith@cubixit.com']"
Software Development Hub Pakistan,"2nd floor, Gulberg Express Way, Madni Arcade, Bhati Society Rd، Koral Town, Islamabad, Islamabad Capital Territory 44000",0341 5240748,softwaredevelopmenthub.com,,(32),['info@softwaredevelopmenthub.com']
Evamp & Saanga,"Plot No, 324 Street 4, I-9/3 I 9/3 I-9, Islamabad, Islamabad Capital Territory 44000",(051) 2870726,evampsaanga.com,,(162),"['info@evampsaanga.com', 'illum.khan@evampsaanga.com', 'sales@evampsaanga.com', 'John@evampsaanga.com', 'h@evampsaanga.com', 'John.Smith@evampsaanga.com', 'anwar.khan@evampsaanga.com', 'JohnSmith@evampsaanga.com', 'jack.derby@evampsaanga.com', 'abid.khan@evampsaanga.com', 'John_Smith@evampsaanga.com', 'hr@evampsaanga.com', 'r@evampsaanga.com']"
Website Development Company | Mobile App Development In Islamabad |Software Company in Islamabad| Software Outsourcing,"Nisar Market, Street 18, Margalla Town Margalla Town Phase 1 Islamabad, Islamabad Capital Territory 44000",0333 5067072,centigmasoft.com,,(14),"['careers@centigmasoft.com', 'info@centigmasoft.com']"
Dotless Software House,"CUST Backside, Gondal plaza, Azeem Town, Islamabad, Rawalpindi, Punjab 45750",0323 9865290,,,(10),[]
Beta Angels,"Building 33, Square Commercial, Office 1, 1st Floor, Lane 3, Phase 7 Bahria Town, Rawalpindi, 46000",0336 4411022,,,(37),[]
Ai Soft (Pvt) Ltd,"M344+RMV, I-9 Markaz I 9 Markaz I-9, Islamabad, Islamabad Capital Territory",0300 8550213,,,(8),[]
MCARE,"G3CQ+5WX, Defence Business Bay, Islamabad, 44000",0317 5001323,,,(11),[]
Weblox Tech Software House islamabad,"Street 55, G-13/2 G 13/2 G-13, Islamabad, Islamabad Capital Territory 44000",,,,(4),['.@']
"All Tech 360 (Web Development Company, Web Development Islamabad , Software House In Rawalpindi)","Office f25, 2nd floor, Chandni Chow, Mid City Shopping Mall, B-Block Block B Satellite Town, Rawalpindi, Punjab 44000",0312 5676066,alltech360.com,,(30),[]
Codexier Software House,"Police, Block C, Pakistan Town Block C Foundation, Rawalpindi, Punjab",44 20,codexier.com,,(16),[]
"Vertix - Software House, Tech & IT Services","Office 2, Plaza, 15 Commercial Avenue، Phase 7 Rawalpindi, 46000",0333 9877919,,,(2),[]
Hexavision Pvt Ltd,"Sector F DHA Phase 1, Islamabad, Rawalpindi, Islamabad Capital Territory",0330 5978613,,,(3),[]
SoftVisionist | Website and App Development | Software House Islamabad,"office 5, Mujahid Plaza, Jinnah Ave, F 6/1 Blue Area, Islamabad, Islamabad Capital Territory 44000",0301 1228226,softvisionist.com,,(14),[]
BITBOX,"1, 3rd floor, Plaza No. 20 Mini Ext, Main Expressway, Phase 7 Bahria Town, Islamabad, Rawalpindi, Islamabad Capital Territory 46000",(051) 8990293,bitboxit.com,,(14),[]
CodesOrbit,"Plot#395, Fazal Technology Park, 396, I 9/3 Industrial Area, Islamabad, 44000",(051) 8356104,codesorbit.com,,(74),[]
InfoTech Private Limited,"1st Floor, Waheed Plaza, Plot 52 West, Blue Area,, G 6/2 Blue Area, Islamabad, Islamabad Capital Territory",(051) 2604637,infotechgroup.com,,(18),[]
BEST SOFTWARE HOUSE,"Jinnah Ave, F 6/1 Blue Area, Islamabad, Islamabad Capital Territory",0300 4561122,,,(5),[]
M5HOST WEB DEVELOPMENT COMPANY ISLAMABAD,"Office # 304, Arooj Arcade, near Maroof International Hospital،, F-10 Markaz F 10/3 F-10, Islamabad, Islamabad Capital Territory",0331 6640400,m5host.com,,(171),[]
SAUFIK,"Plot 349 St 1, I-9/3 I 9/3 I-9, Islamabad, Islamabad Capital Territory 44000",(051) 8356733,saufik.com,,(91),[]
Fazal Software Technology Park,"Plot # 395 396, I 9/3 I-9, Islamabad, Islamabad Capital Territory 44000",(051) 4436448,,,(19),[]
Sharim Solutions,"Flat # 1 2nd Floor Plaza# 44-s, Business Bay, Sector F DHA Phase 1, Islamabad, Rawalpindi, Islamabad Capital Territory 44000",(051) 8742790,,,(15),[]
Softech Business Services.,"15th Floor, New, State Life Tower, Jinnah Ave, Block L F 7/4 Blue Area, Islamabad, Islamabad Capital Territory 44010",(051) 2308311,softechbusinessservices.com,,(6),[]
Kayan Technology - Best software House in Islamabad,"Office no 6, Sharjah center, markaz, near AMT biometric, G-10 Markaz G 10 Markaz G-10, Islamabad, Islamabad Capital Territory 44000",0330 0072727,kayantechnology.com,,(1),[]
Diligent Technologies,"2nd Floor, Flat, Street 44 Street 3, Sector F DHA Phase 1, Islamabad, Rawalpindi, Islamabad Capital Territory 46000",(051) 8770025,diligenttechnologies.co,,(71),[]
Mtech Software Solutions - Best Retail POS Systems & Inventory Management System for Retail Industry,"Office # B4, Paradise Arcade, Mini Commercial Extension 2, Phase 7 Sector F Bahria, Rawalpindi, Islamabad Capital Territory 96000",0309 7953531,,,(23),[]
WebHive Technologies,"Office # 11, 3rd floor, Ahmed Center, I-, Street 8, I 8 Markaz I-8, Islamabad, Islamabad Capital Territory 44000",0333 5499639,,,(9),[]
SoftoSol Pvt Ltd,"Plot# 206, 3 Service Rd East I-10, I-10/3 I 10/3 I-10, Islamabad, Islamabad Capital Territory 44800",(051) 8779777,softosol.com,,(11),[]
Elixir Technologies,"Plot no. 66, Civic Center, Arcade 66, Gulberg Greens Executive Block Koral Town, Islamabad, Islamabad Capital Territory",(051) 5912910,elixir.com,,(63),[]
Sequel Technologies,"F, 29, Spring North Street 16, 1, Sector DHA, Islamabad, 44000",(051) 2315461,sequeltechnologies.net,,(78),[]
AWK Technologies (Pvt) Ltd.,"Office # 412 Fifth Floor, Greens, Gulberg Business Center, Gulberg Expy, Executive Block Koral Town, Islamabad, Islamabad Capital Territory 44000",(051) 8432717,awktechz.com,,(18),[]
Ideatech Software House,"Office No. 4، Kashif Plaza، Markaz, G-8 Markaz G 8 Markaz G-8, Islamabad, Islamabad Capital Territory 44080",0336 8885333,ideatech.org,,(73),[]
Tungsten Software Services,"Building Number, Usmania Market, 4 Street 2, I-8/1 I 8/1 I-8, Islamabad, Islamabad Capital Territory 44000",0344 8972687,,,(4),[]
Xorlogics,"No.2, 2nd Floor, Ahmed Center, I-8 Markaz, I 8 Markaz I-8, Islamabad, Islamabad Capital Territory 44000",(051) 4438627,xorlogics.com,,(9),[]
Nextbridge Ltd.,"P3MQ+68C, F-5/1 F-5, Islamabad, Islamabad Capital Territory",(051) 2871387,nextbridge.pk,,(15),[]
Bit Technologies | Web development Company Pakistan,"National Incubation Center, Street 6, Sector H-9/1 H 9/1 H-9, Islamabad, Islamabad Capital Territory 44000",0310 5878854,bittechnologies.co,,(38),[]
Software NextGen Technologies Pvt. Ltd.,"44S Business Bay, Sector F DHA Phase 1, Islamabad, Rawalpindi, Islamabad Capital Territory",(051) 8312868,nextgen.pk,,(9),[]
Software House in Pakistan,"House 381, Main Double Rd, Markaz FECHS E 11/3 E-11, Islamabad, Islamabad Capital Territory 44000",0333 8322151,redissolution.com,,(1),[]
"Quaid Technologies - Software House in Rawalpindi, Islamabad","72، Khurshed Alam Road، opposite to McDonald's, Westridge 1, Rawalpindi, 46000",(051) 8448182,quaidtech.com,,(44),[]
Genesis IT Lab,"3rd floor, Building, Genesis IT Lab, 29 Street 40, G-10/4 G 10/4 G-10, Islamabad, Islamabad Capital Territory 46200",(051) 8356551,genesislab.com,,(55),[]
nuSoft,,,nusoft.co,,,[]
Arkhitech,"Office 5, 2nd Floor, Al-Karam Plaza, F-11 Markaz F 11 Markaz F-11, Islamabad, Islamabad Capital Territory 44000",(051) 4858394,arkhitech.com,,(98),[]
Eziline Software House Pvt Ltd,"Office #304-B Amna Plaza, near Radio Pakistan, Rawalpindi, Punjab 46000",,eziline.com,,(963),[]
Hura Technologies,"Unnamed Road, Islamabad, Rawalpindi, Islamabad Capital Territory",(051) 5172021,,,(21),[]
Northcloud Software Islamabad,"#106 Paris Heights 1, PMCHS E 11/2 E-11, Islamabad, Islamabad Capital Territory 44000",(051) 8318888,ncloud.hk,,(2),[]
Join App Studio,"ARK Plaza, Plot No. 252 Spring North, Bahria Town, Islamabad, 46000",0300 5005086,joinappstudio.com,,(49),[]
Hi Data Technologies,"Office # A2, Second Floor, Mini Commercial, Phase 7 Bahria Town،, Rawalpindi, Islamabad Capital Territory 46000",0334 5520536,,,(6),[]
iSix Technologies,"Suite No. 2, Block No. 13, PHA Buildings, G-7/1,, G 7/1 G-7, Islamabad, Islamabad Capital Territory 44000",,coroflot.com,,(13),[]
Wulogix Technologies (Pvt) Ltd.,"Office # 12 First Floor Prism Arcade 2 Bahria Town, Phase 7 Islamabad, Rawalpindi, Islamabad Capital Territory 46000",0333 5325719,wulogix.com,,(15),[]
SIQA Software Services (Private) Limited,"208-210, The LandMark Plaza Service Road East, Islamabad Expy, Phase 5 Ghauri Town, Islamabad, Rawalpindi, Islamabad Capital Territory 45000",(051) 8742662,siqasoft.com,,(12),[]
TEO International,"3rd floor, Hasan Arcade, Hilal Rd, F-11 Markaz F 11 Markaz F-11, Islamabad, Islamabad Capital Territory 44000",(051) 2112850,teo-intl.com,,(80),[]
DevOcean Technologies | IT Solutions Company in Islamabad - Software House in Pakistan,"Office 07c, Floor 3rd, Grace Building, Fifth Rd, opposite Minnie Minnors, Commercial Block B Satellite Town, Rawalpindi, Punjab 43600",(051) 2716636,devoceantech.com,,(3),[]
Centangle Interactive,"3rd Floor CIS Technology Park, Shahrah-e-Jamhuriat, G-5/2 Islamabad, 44000",(051) 2825565,centangle.com,,(28),[]
Vantage Soft (PVT) Ltd,"Office # 1, 3rd Floor, Plaza 59, Spring North Commercial, Phase 7 Bahria Town, Rawalpindi, Islamabad Capital Territory 46000",0330 9196566,vantage-soft.com,,(6),[]
House Islamabad,"J49R+FFP, Street 9, near Al-Sadiq Library ICT, Ghori Town Phase 4-B G 9/2 G-9, Islamabad, Islamabad Capital Territory",0334 6107765,orm.com.pk,,(7),[]
Leed Pakistan,"Plot 207 Service Rd N, East, Industrial Area I 10/3 I-10, Islamabad, Islamabad Capital Territory 44000",(051) 2745804,leeddev.io,,(20),[]
Pearl IT Solution Software and Web Development Islamabad,"House No, 17 Street 2, Model Town Humak, Islamabad, Islamabad Capital Territory 44000",0321 5839841,,,(2),[]
MobiPixels,"2nd Floor 44-Q, Business Avenue, Sector F DHA Phase 1, Islamabad, Rawalpindi, Islamabad Capital Territory 44000",(051) 6102534,mobipixels.com,,(11),[]
7vision Technologies,"coffee and bean, F, 20-c mini commercial view, Phase 7 Bahria Town, Islamabad, 44000",(051) 8779552,7vision.tech,,(2),[]
I-Orbits Tech (Software House),"Office No T2 1st Floor Westridge III, Main I.J.P. Rd, Islamabad View Colony, Rawalpindi, Islamabad Capital Territory 46000",0307 5230948,iorbitstech.com,,(13),[]
Funavry Technologies,"1st floor, Islamabad Chamber of Commerce and Industry Building, Street No. 13, G-8/1 Islamabad, 44000",,funavry.com,,(47),[]
MR.MAH SOFTWARE SOLUTIONS,"4 Street 102, I-8/4 I 8/4 I-8, Islamabad, Islamabad Capital Territory 44791",0345 6316461,,,(20),[]
web development,"house no 208, Street no 94 Peshawar Mor Interchange, G-9/4 G 9/4 G-9, Islamabad, Islamabad Capital Territory",0349 9383988,,,(1),[]
IT Resources (PVT) LTD,"Office no 1 Ist Palaza, IT Resources, Sanam Chowk, Lehtrar Rd, Khanna Burma Town, Islamabad, Islamabad Capital Territory 44000",0311 3917777,itresources.com.pk,,(56),[]
UPROCK Tech,"G4C3+G4F, Sector F DHA Phase 1, Islamabad, Rawalpindi, Islamabad Capital Territory",(051) 5401015,uprocktech.com,,(5),[]
"ProntX | Software House In Islamabad, Pakistan","House no 774، 14 St 13-A, NPF E 11/4 E-11, Islamabad, Islamabad Capital Territory 46000",0318 5178973,prontx.com,,(4),[]
Appliconic,"M37H+G22, I-8/4 I 8/4 I-8, Islamabad, Islamabad Capital Territory",0332 0595977,,,(21),[]
Raccoon Tech,"first floor, The Bliss Plaza, F, Plot A2, Sector DHA Phase 1, Islamabad, 46000",0303 8419863,raccoontechinc.com,,(21),[]
Orbit Systems,"Office No.1, Plot-18 Mini Commercial Area, Phase 7 Bahria Town, Rawalpindi, Islamabad Capital Territory",0321 9941600,orbitsystems.com.pk,,(30),[]
Evelogics IT Solutions (software company),"Block 4, 2 Service Rd E, NPF E 11/4 E-11, Islamabad, Islamabad Capital Territory 44000",0307 5431134,evelogics.com,,(5),[]
HA-TECHNOLOGIES (Private) Limited,"Office # 2,3,4 Third Floor, Yasin Plaza, near Savour, Block G G 7/3 Blue Area, Islamabad, Islamabad Capital Territory 44000",(051) 2120860,hatechnologies.net,,(55),[]
One2One Solutionz Pvt. Ltd.,"296, Ravi Road G-8/2, G 8/2 G-8, Islamabad, Islamabad Capital Territory 44000",(051) 4927080,,,(3),[]
Trees Technologies ( Inc 1991),"Office -1 , 2nd Floor , Plaza 59 Plaza 59, Springs North Commercial, Bahria Ave, adjacent to Burger King, Phase 7 Islamabad, Rawalpindi, Islamabad Capital Territory",0323 2966557,treestech.org,,(5),[]
Ayzenn Technologies,,0331 6670557,ayzenntechnologies.com,,(23),[]
NineSol Technologies,"First and Second Floor, 3-U Commercial Plaza, Sitara Market, G-7 Markaz G 7 Markaz G-7, Islamabad, Islamabad Capital Territory",(051) 2620085,ninesol.com,,(30),[]
Teknotize,"Apartment No. 301, 3rd Floor, Alfalah Arcade River View Commercial, Phase 7 Rawalpindi, Islamabad Capital Territory 46000",0339 2222344,teknotize.com,,(20),[]
Thathal ITS,"3rd Floor, Plaza no. 1, acantilado Commercial, Phase 7 Bahria Town, Islamabad, Rawalpindi, Islamabad Capital Territory",0321 9502022,thathalits.com,,(17),[]
SOFIT Consultancy (Pvt.) Ltd.,"Bahria Springs, Level 2 & 3, 69 Service Road, Phase VII Bahria Town, Rawalpindi, Islamabad Capital Territory 46000",(051) 5400439,sofit.ltd,,(54),[]
Growstep Technologies - Best Software Company In Rawalpindi Pakistan,"Malikabad Plaza, 2nd Floor, Office no: S-146,6th Road, Murree Rd, Rawalpindi",0333 5145322,,,(29),[]
DatumSquare IT Services Pvt. Ltd.,"STP -3, Block A, Ground Floor # Plot # 155، 3 Service Rd N, I 9/3 I-9, Islamabad, Islamabad Capital Territory 44000",(051) 8319127,datumsquare.com,,(128),[]
Dynaamx,"Phase 7, Square Commercial, Office 4 Floor 1 Plot 9, Bahria Town, Islamabad, 44000",0316 5149351,dynaamx.tech,,(14),[]
Mindswork Developments Islamabad | Software Company | Best IT Company,"Plot 31-C St 17, D Sector D PWD, Islamabad, Punjab 44000",0300 6247060,mindswork.org,,,[]
BiTech Pvt Ltd,"Phase 7 Bahria Town, Islamabad, Rawalpindi, Islamabad Capital Territory",0300 5005086,bitechglobal.com,,(4),[]
Islamabad Soft,"Office No 16, 1st Floor, Mujahid Plaza, Jinnah Ave, near Sonehri Bank, G 7/2 Blue Area, Islamabad, Islamabad Capital Territory",0300 2737054,,,(2),[]
DevGate,"Office 22 - Y, 3rd Floor Business Bay Avenue, Sector F, DHA Phase 1, Islamabad, Rawalpindi",(051) 8311327,devgate.ca,,(27),[]
Pakistan Software House,"House number 221-D G 7, 3-2 Street 1, G 7/3 G-7, Islamabad, Islamabad Capital Territory 44080",0300 0923938,blogsweb4u.com,,(3),[]
OmniSoftex Inc.,"Office No.16-A, 3rd Floor, Anique Arcade, I-8 Markaz I 8 Markaz I-8, Islamabad, Islamabad Capital Territory 46000",0309 9024199,omnisoftex.com,,(7),[]
BIZTORCH SOFTWARE HOUSE,"Total Engineering (Pvt) Ltd, Jinnah Ave, Block F G 7/3 Blue Area, Islamabad, Islamabad Capital Territory",(051) 8735600,biztorch.com,,(4),[]
Envision Software Pvt Ltd,"G3CV+XQ4, Street 7, Sector B Sector F DHA Phase 1, Rawalpindi, Islamabad Capital Territory",,,,(1),[]
